,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,15.9%,median,84.1%
log_amp,-1.711,0.236,-2.087,-1.271,0.01,0.007,641.0,974.0,1.01,-1.932,-1.752,-1.467
log_avg,2.905,0.003,2.898,2.911,0.0,0.0,984.0,1103.0,1.0,2.902,2.905,2.908
log_scale,-1.592,0.3,-2.183,-1.05,0.011,0.008,723.0,1131.0,1.01,-1.884,-1.597,-1.301
