,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,15.9%,median,84.1%
log_amp,-1.025,0.316,-1.506,-0.478,0.024,0.017,184.0,347.0,1.03,-1.327,-1.084,-0.718
log_avg,2.917,0.008,2.901,2.934,0.0,0.0,304.0,368.0,1.02,2.912,2.917,2.923
log_scale,-0.924,0.368,-1.653,-0.229,0.025,0.018,202.0,545.0,1.03,-1.26,-0.936,-0.582
