,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,15.9%,median,84.1%
log_amp,-0.886,0.556,-1.883,0.136,0.019,0.013,955.0,1110.0,1.0,-1.436,-0.944,-0.332
log_avg,2.928,0.014,2.903,2.957,0.001,0.0,860.0,705.0,1.0,2.916,2.928,2.94
log_scale,-1.117,0.476,-1.943,-0.207,0.013,0.009,1310.0,1409.0,1.0,-1.611,-1.116,-0.63
