,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,15.9%,median,84.1%
log_amp,-0.887,0.206,-1.217,-0.494,0.011,0.008,408.0,672.0,1.0,-1.086,-0.923,-0.691
log_avg,2.917,0.007,2.904,2.931,0.0,0.0,498.0,607.0,1.0,2.912,2.917,2.924
log_scale,-1.38,0.369,-2.085,-0.674,0.017,0.012,466.0,663.0,1.0,-1.738,-1.364,-1.023
