,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,15.9%,median,84.1%
log_amp,-1.034,0.316,-1.5,-0.459,0.017,0.012,394.0,646.0,1.01,-1.329,-1.097,-0.746
log_avg,2.918,0.009,2.903,2.933,0.001,0.0,391.0,379.0,1.01,2.912,2.916,2.923
log_scale,-1.227,0.437,-2.153,-0.445,0.024,0.017,325.0,463.0,1.01,-1.652,-1.227,-0.821
