,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,15.9%,median,84.1%
log_amp,-1.673,0.31,-2.199,-1.074,0.014,0.01,584.0,591.0,1.0,-1.97,-1.716,-1.381
log_avg,2.873,0.007,2.859,2.886,0.0,0.0,495.0,498.0,1.01,2.867,2.874,2.879
log_scale,-0.904,0.384,-1.62,-0.168,0.018,0.013,468.0,461.0,1.01,-1.268,-0.927,-0.534
